date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:24:21	359/359	---MCZ	200	added ('OK')	text/plain	date:Tue,%2022%20Aug%202023%2003:24:59%20GMT	https://chukymantilla25.wordpress.com/robots.txt		(from )
22:24:23	102411/102411	---MCZ	200	added ('OK')	text/html	date:Tue,%2022%20Aug%202023%2003:25:02%20GMT	https://chukymantilla25.wordpress.com/	C:/Users/juan/Pictures/Pagina/Pagina/chukymantilla25.wordpress.com/index.html	(from )
22:24:24	3959/3959	---MCZ	200	added ('OK')	text/css	etag:W/5042-1689833592004.8274	https://s2.wp.com/wp-content/blog-plugins/marketing-bar/css/marketing-bar.css?m=1689833584i&cssminify=yes	C:/Users/juan/Pictures/Pagina/Pagina/s2.wp.com/wp-content/blog-plugins/marketing-bar/css/marketing-bard25c.css	(from https://chukymantilla25.wordpress.com/)
22:24:24	1501/1501	---MCZ	200	added ('OK')	application/rss+xml	date:Tue,%2022%20Aug%202023%2003:12:18%20GMT	https://chukymantilla25.wordpress.com/feed/	C:/Users/juan/Pictures/Pagina/Pagina/chukymantilla25.wordpress.com/feed/index.html	(from https://chukymantilla25.wordpress.com/)
22:24:24	883/883	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22bb9497236a6b5f45fe0bcdf359d3ccbe%22	https://chukymantilla25.wordpress.com/comments/feed/	C:/Users/juan/Pictures/Pagina/Pagina/chukymantilla25.wordpress.com/comments/feed/index.html	(from https://chukymantilla25.wordpress.com/)
22:24:25	311/311	---M--	200	added ('OK')	text/css	etag:W/471-1684460918911.6392	https://s2.wp.com/wp-content/themes/h4/global.css?m=1420737423i&cssminify=yes	C:/Users/juan/Pictures/Pagina/Pagina/s2.wp.com/wp-content/themes/h4/globalf753.css	(from https://chukymantilla25.wordpress.com/)
22:24:25	369/369	---M--	200	added ('OK')	text/css	etag:%2260aef184-171%22	https://s1.wp.com/_static/??/wp-content/mu-plugins/core-compat/wp-mediaelement.css,/wp-content/mu-plugins/wpcom-bbpress-premium-themes.css?m=1432920480j&cssminify=yes	C:/Users/juan/Pictures/Pagina/Pagina/s1.wp.com/_static/indexd02a.html	(from https://chukymantilla25.wordpress.com/)
22:24:25	19307/19307	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261bea003-4b6b%22	https://s1.wp.com/_static/??/wp-content/js/mobile-useragent-info.js,/wp-content/js/rlt-proxy.js?m=1637704497j	C:/Users/juan/Pictures/Pagina/Pagina/s1.wp.com/_static/index7d7d.html	(from https://chukymantilla25.wordpress.com/)
22:24:25	900/900	---MCZ	200	added ('OK')	text/xml	date:Tue,%2022%20Aug%202023%2003:25:04%20GMT	https://chukymantilla25.wordpress.com/xmlrpc.php?rsd	C:/Users/juan/Pictures/Pagina/Pagina/chukymantilla25.wordpress.com/xmlrpc0db0.php	(from https://chukymantilla25.wordpress.com/)
22:24:26	10046/10046	---M--	200	added ('OK')	image/png	etag:%2261be9fe8-273e%22	https://s2.wp.com/i/webclip.png	C:/Users/juan/Pictures/Pagina/Pagina/s2.wp.com/i/webclip.png	(from https://chukymantilla25.wordpress.com/)
22:24:27	1415/1415	---MCZ	200	added ('OK')	application/xml	date:Tue,%2022%20Aug%202023%2003:25:04%20GMT	https://chukymantilla25.wordpress.com/osd.xml	C:/Users/juan/Pictures/Pagina/Pagina/chukymantilla25.wordpress.com/osd.xml	(from https://chukymantilla25.wordpress.com/)
22:24:28	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2022%20Aug%202023%2003:25:06%20GMT	https://chukymantilla25.wordpress.com/?page_id=37	C:/Users/juan/Pictures/Pagina/Pagina/chukymantilla25.wordpress.com/indexbc9e.html	(from https://chukymantilla25.wordpress.com/)
22:24:28	77928/77928	---M--	200	added ('OK')	image/jpeg	date:Sun,%2020%20Aug%202023%2018:45:18%20GMT	https://chukymantilla25.files.wordpress.com/2023/08/0058cf68-6431-4023-b1d5-12c6ba676a7b-2.jpeg?w=1024	C:/Users/juan/Pictures/Pagina/Pagina/chukymantilla25.files.wordpress.com/2023/08/0058cf68-6431-4023-b1d5-12c6ba676a7b-22dff.jpg	(from https://chukymantilla25.wordpress.com/)
22:24:29	84488/84488	---M--	200	added ('OK')	image/jpeg	date:Sun,%2020%20Aug%202023%2018:50:19%20GMT	https://chukymantilla25.files.wordpress.com/2023/08/084629a3-fc22-4d86-b666-3e0bf5109b4f.jpeg?w=1024	C:/Users/juan/Pictures/Pagina/Pagina/chukymantilla25.files.wordpress.com/2023/08/084629a3-fc22-4d86-b666-3e0bf5109b4f2dff.jpg	(from https://chukymantilla25.wordpress.com/)
22:24:29	107812/107812	---M--	200	added ('OK')	image/jpeg	date:Sun,%2020%20Aug%202023%2019:02:40%20GMT	https://chukymantilla25.files.wordpress.com/2023/08/067a9ef7-7515-4c5b-b3d8-8cc8846f3f0e-1.jpeg?w=1024	C:/Users/juan/Pictures/Pagina/Pagina/chukymantilla25.files.wordpress.com/2023/08/067a9ef7-7515-4c5b-b3d8-8cc8846f3f0e-12dff.jpg	(from https://chukymantilla25.wordpress.com/)
22:24:30	12970/12970	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264dbb695-32aa%22	http://0.gravatar.com/js/hovercards/hovercards.min.js?ver=202334aeb24331352c11f5446dd670d75325a3c4e3b8a6bd7f92ee1c88f8b8636d4d9c	C:/Users/juan/Pictures/Pagina/Pagina/0.gravatar.com/js/hovercards/hovercards.min08d0.js	(from https://chukymantilla25.wordpress.com/)
22:24:30	32593/32593	---M--	200	added ('OK')	image/jpeg	date:Sun,%2020%20Aug%202023%2019:01:44%20GMT	https://chukymantilla25.files.wordpress.com/2023/08/ab382aee-a59c-4f53-8da8-b613a158ca3a.jpeg?w=1024	C:/Users/juan/Pictures/Pagina/Pagina/chukymantilla25.files.wordpress.com/2023/08/ab382aee-a59c-4f53-8da8-b613a158ca3a2dff.jpg	(from https://chukymantilla25.wordpress.com/)
22:24:31	655/655	---MCZ	200	added ('OK')	application/javascript	etag:W/1125-1684460931415.6394	https://s2.wp.com/wp-content/mu-plugins/gravatar-hovercards/wpgroho.js?m=1610363240i	C:/Users/juan/Pictures/Pagina/Pagina/s2.wp.com/wp-content/mu-plugins/gravatar-hovercards/wpgrohoe8bd.js	(from https://chukymantilla25.wordpress.com/)
22:24:31	8203/8203	---M--	200	added ('OK')	image/png	etag:%2261be9fe8-200b%22	https://s2.wp.com/i/logo/wpcom-gray-white.png	C:/Users/juan/Pictures/Pagina/Pagina/s2.wp.com/i/logo/wpcom-gray-white.png	(from https://chukymantilla25.wordpress.com/)
22:24:32	14633/14633	---MCZ	200	added ('OK')	text/css	etag:W/17924-1684460926167.6394	https://s0.wp.com/wp-content/mu-plugins/actionbar/actionbar.css?v=20210915	C:/Users/juan/Pictures/Pagina/Pagina/s0.wp.com/wp-content/mu-plugins/actionbar/actionbar2866.css	(from https://chukymantilla25.wordpress.com/)
22:24:33	7186/7186	---MCZ	200	added ('OK')	application/javascript	etag:W/13421-1684460936240.9634	https://s0.wp.com/wp-content/mu-plugins/actionbar/actionbar.js?v=20220329	C:/Users/juan/Pictures/Pagina/Pagina/s0.wp.com/wp-content/mu-plugins/actionbar/actionbarb516.js	(from https://chukymantilla25.wordpress.com/)
22:24:33	8024/8024	---MCZ	200	added ('OK')	application/javascript	etag:W/21148-1684465206729.7068	https://s2.wp.com/wp-content/js/devicepx.js?m=1574978559i	C:/Users/juan/Pictures/Pagina/Pagina/s2.wp.com/wp-content/js/devicepx5627.js	(from https://chukymantilla25.wordpress.com/)
22:24:34	10813/10813	---MCZ	200	added ('OK')	application/javascript	etag:W/%2261dc645f-2a3d%22	http://stats.wp.com/w.js?63	C:/Users/juan/Pictures/Pagina/Pagina/stats.wp.com/w03af.js	(from https://chukymantilla25.wordpress.com/)
22:24:34	439/439	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2022%20Aug%202023%2003:25:12%20GMT	https://chukymantilla25.wordpress.com/wp-content/plugins/ie-sitemode/custom-jumplist.php	C:/Users/juan/Pictures/Pagina/Pagina/chukymantilla25.wordpress.com/wp-content/plugins/ie-sitemode/custom-jumplist.php	(from https://chukymantilla25.wordpress.com/)
22:24:34	43/43	---M--	200	added ('OK')	image/gif	date:Tue,%2022%20Aug%202023%2003:25:13%20GMT	https://pixel.wp.com/b.gif?v=noscript	C:/Users/juan/Pictures/Pagina/Pagina/pixel.wp.com/b0b80.gif	(from https://chukymantilla25.wordpress.com/)
22:24:35	345/345	---MCZ	200	added ('OK')	text/plain	date:Tue,%2022%20Aug%202023%2003:25:13%20GMT	https://s1.wp.com/robots.txt		(from https://chukymantilla25.wordpress.com/)
22:24:36	108911/108911	---MCZ	200	added ('OK')	text/html	date:Tue,%2022%20Aug%202023%2003:25:14%20GMT	https://chukymantilla25.wordpress.com/biblioteca/	C:/Users/juan/Pictures/Pagina/Pagina/chukymantilla25.wordpress.com/biblioteca/index.html	(from https://chukymantilla25.wordpress.com/?page_id=37)
22:24:37	130894/130894	---M--	200	added ('OK')	image/jpeg	date:Tue,%2022%20Aug%202023%2001:06:41%20GMT	https://chukymantilla25.files.wordpress.com/2023/08/texto-de-2-aefbfbdo-ccss-1.jpg?w=753	C:/Users/juan/Pictures/Pagina/Pagina/chukymantilla25.files.wordpress.com/2023/08/texto-de-2-aefbfbdo-ccss-1ae7c.jpg	(from https://chukymantilla25.wordpress.com/biblioteca/)
